Match Day,Match Date (UTC),Match Time(New York),Match Time(London),Match Time(Moscow),Match Time(Dubai),Match Time(Shanghai),Fixture,Stadium,Home Team,Home Goal,Away Goal,Away Team,Win %,Draw %,Loss %,Projected Home Goal,Projected Away Goal,Last Update Time,Stage,Status,Match Time(Chicago),Match Time(Albuqerque),Match Time(San Francisco),Result
1,2025-08-15,2025-08-15 13:00:00,2025-08-15 18:00:00,2025-08-15 20:00:00,2025-08-15 21:00:00,2025-08-16 01:00:00,Girona FC vs Rayo Vallecano,Municipal de Montilivi,Girona FC,1.0,3.0,Rayo Vallecano,0.4213,0.2894,0.2894,1.2225,0.9604,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-15 12:00:00,2025-08-15 11:00:00,2025-08-15 10:00:00,A
1,2025-08-15,2025-08-15 15:30:00,2025-08-15 20:30:00,2025-08-15 22:30:00,2025-08-15 23:30:00,2025-08-16 03:30:00,Villarreal CF vs Real Oviedo,Estadio de la Cerámica,Villarreal CF,2.0,0.0,Real Oviedo,0.7037,0.1898,0.1065,2.0679,0.6566,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-15 14:30:00,2025-08-15 13:30:00,2025-08-15 12:30:00,H
1,2025-08-16,2025-08-16 13:30:00,2025-08-16 18:30:00,2025-08-16 20:30:00,2025-08-16 21:30:00,2025-08-17 01:30:00,RCD Mallorca vs FC Barcelona,Estadi Mallorca Son Moix,RCD Mallorca,0.0,3.0,FC Barcelona,0.1266,0.1838,0.6896,0.8362,2.2267,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-16 12:30:00,2025-08-16 11:30:00,2025-08-16 10:30:00,A
1,2025-08-16,2025-08-16 15:30:00,2025-08-16 20:30:00,2025-08-16 22:30:00,2025-08-16 23:30:00,2025-08-17 03:30:00,Deportivo Alavés vs Levante UD,Mendizorroza,Deportivo Alavés,2.0,1.0,Levante UD,0.4345,0.3078,0.2577,1.1388,0.8035,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-16 14:30:00,2025-08-16 13:30:00,2025-08-16 12:30:00,H
1,2025-08-16,2025-08-16 15:30:00,2025-08-16 20:30:00,2025-08-16 22:30:00,2025-08-16 23:30:00,2025-08-17 03:30:00,Valencia CF vs Real Sociedad,Mestalla,Valencia CF,1.0,1.0,Real Sociedad,0.3723,0.325,0.3027,0.9774,0.8493,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-16 14:30:00,2025-08-16 13:30:00,2025-08-16 12:30:00,D
1,2025-08-17,2025-08-17 11:00:00,2025-08-17 16:00:00,2025-08-17 18:00:00,2025-08-17 19:00:00,2025-08-17 23:00:00,RC Celta vs Getafe CF,Estadio Abanca-Balaídos,RC Celta,0.0,2.0,Getafe CF,0.5454,0.2743,0.1802,1.4071,0.6793,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-17 10:00:00,2025-08-17 09:00:00,2025-08-17 08:00:00,A
1,2025-08-17,2025-08-17 13:30:00,2025-08-17 18:30:00,2025-08-17 20:30:00,2025-08-17 21:30:00,2025-08-18 01:30:00,Athletic Club vs Sevilla FC,San Mamés,Athletic Club,3.0,2.0,Sevilla FC,0.5953,0.243,0.1617,1.6437,0.7211,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-17 12:30:00,2025-08-17 11:30:00,2025-08-17 10:30:00,H
1,2025-08-17,2025-08-17 15:30:00,2025-08-17 20:30:00,2025-08-17 22:30:00,2025-08-17 23:30:00,2025-08-18 03:30:00,RCD Espanyol vs Atlético de Madrid,RCDE Stadium,RCD Espanyol,2.0,1.0,Atlético de Madrid,0.1468,0.2433,0.6098,0.6527,1.6278,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-17 14:30:00,2025-08-17 13:30:00,2025-08-17 12:30:00,H
1,2025-08-18,2025-08-18 15:00:00,2025-08-18 20:00:00,2025-08-18 22:00:00,2025-08-18 23:00:00,2025-08-19 03:00:00,Elche CF vs Real Betis,Martínez Valero,Elche CF,1.0,1.0,Real Betis,0.2846,0.2893,0.4261,0.9483,1.229,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-18 14:00:00,2025-08-18 13:00:00,2025-08-18 12:00:00,D
1,2025-08-19,2025-08-19 15:00:00,2025-08-19 20:00:00,2025-08-19 22:00:00,2025-08-19 23:00:00,2025-08-20 03:00:00,Real Madrid vs CA Osasuna,Santiago Bernabéu,Real Madrid,1.0,0.0,CA Osasuna,0.8144,0.1221,0.0635,2.8332,0.6872,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-19 14:00:00,2025-08-19 13:00:00,2025-08-19 12:00:00,H
2,2025-08-22,2025-08-22 15:30:00,2025-08-22 20:30:00,2025-08-22 22:30:00,2025-08-22 23:30:00,2025-08-23 03:30:00,Real Betis vs Deportivo Alavés,Estadio La Cartuja de Sevilla,Real Betis,1.0,0.0,Deportivo Alavés,0.5344,0.2646,0.2011,1.4783,0.7926,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-22 14:30:00,2025-08-22 13:30:00,2025-08-22 12:30:00,H
2,2025-08-23,2025-08-23 11:00:00,2025-08-23 16:00:00,2025-08-23 18:00:00,2025-08-23 19:00:00,2025-08-23 23:00:00,RCD Mallorca vs RC Celta,Estadi Mallorca Son Moix,RCD Mallorca,1.0,1.0,RC Celta,0.3055,0.3002,0.3943,0.9513,1.1237,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-23 10:00:00,2025-08-23 09:00:00,2025-08-23 08:00:00,D
2,2025-08-23,2025-08-23 13:30:00,2025-08-23 18:30:00,2025-08-23 20:30:00,2025-08-23 21:30:00,2025-08-24 01:30:00,Atlético de Madrid vs Elche CF,Riyadh Air Metropolitano,Atlético de Madrid,1.0,1.0,Elche CF,0.803,0.1364,0.0606,2.5258,0.5509,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-23 12:30:00,2025-08-23 11:30:00,2025-08-23 10:30:00,D
2,2025-08-23,2025-08-23 15:30:00,2025-08-23 20:30:00,2025-08-23 22:30:00,2025-08-23 23:30:00,2025-08-24 03:30:00,Levante UD vs FC Barcelona,Ciutat de Valencia,Levante UD,2.0,3.0,FC Barcelona,0.0783,0.1211,0.8006,0.907,3.064,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-23 14:30:00,2025-08-23 13:30:00,2025-08-23 12:30:00,A
2,2025-08-24,2025-08-24 11:00:00,2025-08-24 16:00:00,2025-08-24 18:00:00,2025-08-24 19:00:00,2025-08-24 23:00:00,CA Osasuna vs Valencia CF,El Sadar,CA Osasuna,1.0,0.0,Valencia CF,0.3943,0.3002,0.3055,1.1237,0.9513,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-24 10:00:00,2025-08-24 09:00:00,2025-08-24 08:00:00,H
2,2025-08-24,2025-08-24 13:30:00,2025-08-24 18:30:00,2025-08-24 20:30:00,2025-08-24 21:30:00,2025-08-25 01:30:00,Real Sociedad vs RCD Espanyol,Estadio Municipal de Anoeta,Real Sociedad,2.0,2.0,RCD Espanyol,0.5362,0.2748,0.189,1.4031,0.7093,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-24 12:30:00,2025-08-24 11:30:00,2025-08-24 10:30:00,D
2,2025-08-24,2025-08-24 13:30:00,2025-08-24 18:30:00,2025-08-24 20:30:00,2025-08-24 21:30:00,2025-08-25 01:30:00,Villarreal CF vs Girona FC,Estadio de la Cerámica,Villarreal CF,5.0,0.0,Girona FC,0.6297,0.2079,0.1624,2.0113,0.91,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-24 12:30:00,2025-08-24 11:30:00,2025-08-24 10:30:00,H
2,2025-08-24,2025-08-24 15:30:00,2025-08-24 20:30:00,2025-08-24 22:30:00,2025-08-24 23:30:00,2025-08-25 03:30:00,Real Oviedo vs Real Madrid,Carlos Tartiere,Real Oviedo,0.0,3.0,Real Madrid,0.0859,0.1566,0.7574,0.6803,2.4119,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-24 14:30:00,2025-08-24 13:30:00,2025-08-24 12:30:00,A
2,2025-08-25,2025-08-25 13:30:00,2025-08-25 18:30:00,2025-08-25 20:30:00,2025-08-25 21:30:00,2025-08-26 01:30:00,Athletic Club vs Rayo Vallecano,San Mamés,Athletic Club,1.0,0.0,Rayo Vallecano,0.5718,0.2577,0.1704,1.5278,0.7004,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-25 12:30:00,2025-08-25 11:30:00,2025-08-25 10:30:00,H
2,2025-08-25,2025-08-25 15:30:00,2025-08-25 20:30:00,2025-08-25 22:30:00,2025-08-25 23:30:00,2025-08-26 03:30:00,Sevilla FC vs Getafe CF,Ramón Sánchez-Pizjuán,Sevilla FC,1.0,2.0,Getafe CF,0.4233,0.3122,0.2646,1.1045,0.8057,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-25 14:30:00,2025-08-25 13:30:00,2025-08-25 12:30:00,A
3,2025-08-27,2025-08-27 15:00:00,2025-08-27 20:00:00,2025-08-27 22:00:00,2025-08-27 23:00:00,2025-08-28 03:00:00,RC Celta vs Real Betis,Estadio Abanca-Balaídos,RC Celta,1.0,1.0,Real Betis,0.4241,0.2737,0.3022,1.327,1.075,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-27 14:00:00,2025-08-27 13:00:00,2025-08-27 12:00:00,D
3,2025-08-29,2025-08-29 13:30:00,2025-08-29 18:30:00,2025-08-29 20:30:00,2025-08-29 21:30:00,2025-08-30 01:30:00,Elche CF vs Levante UD,Martínez Valero,Elche CF,2.0,0.0,Levante UD,0.4342,0.2921,0.2737,1.2225,0.9067,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-29 12:30:00,2025-08-29 11:30:00,2025-08-29 10:30:00,H
3,2025-08-29,2025-08-29 15:30:00,2025-08-29 20:30:00,2025-08-29 22:30:00,2025-08-29 23:30:00,2025-08-30 03:30:00,Valencia CF vs Getafe CF,Mestalla,Valencia CF,3.0,0.0,Getafe CF,0.4333,0.3177,0.249,1.0907,0.7486,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-29 14:30:00,2025-08-29 13:30:00,2025-08-29 12:30:00,H
3,2025-08-30,2025-08-30 11:00:00,2025-08-30 16:00:00,2025-08-30 18:00:00,2025-08-30 19:00:00,2025-08-30 23:00:00,Deportivo Alavés vs Atlético de Madrid,Mendizorroza,Deportivo Alavés,1.0,1.0,Atlético de Madrid,0.2016,0.2735,0.5249,0.7587,1.4098,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-30 10:00:00,2025-08-30 09:00:00,2025-08-30 08:00:00,D
3,2025-08-30,2025-08-30 13:00:00,2025-08-30 18:00:00,2025-08-30 20:00:00,2025-08-30 21:00:00,2025-08-31 01:00:00,Real Oviedo vs Real Sociedad,Carlos Tartiere,Real Oviedo,1.0,0.0,Real Sociedad,0.272,0.3057,0.4223,0.8475,1.1346,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-30 12:00:00,2025-08-30 11:00:00,2025-08-30 10:00:00,H
3,2025-08-30,2025-08-30 13:30:00,2025-08-30 18:30:00,2025-08-30 20:30:00,2025-08-30 21:30:00,2025-08-31 01:30:00,Girona FC vs Sevilla FC,Municipal de Montilivi,Girona FC,0.0,2.0,Sevilla FC,0.3859,0.2854,0.3286,1.1917,1.0763,2025-11-13 07:12:26,REGULAR_SEASON,FULL_TIME,2025-08-30 12:30:00,2025-08-30 11:30:00,2025-08-30 10:30:00,A
